client_id,client_name,registration_date,city,country,device
1001,Sergey,2025-04-22,Saint Petersburg,Russia,mobile_ios
1002,Maria,2025-01-04,Chelyabinsk,Russia,mobile_ios
1003,Artem,2025-12-16,Kazan,Russia,mobile_android
1004,Olga,2025-11-27,Kazan,Russia,tablet
1005,Dmitry,2025-11-14,Nizhny Novgorod,Russia,tablet
1006,Sergey,2025-12-16,Omsk,Russia,mobile_ios
1007,Natalia,2025-04-05,Nizhny Novgorod,Russia,mobile_ios
1008,Ivan,2025-06-01,Samara,Russia,tablet
1009,Sergey,2025-11-07,Chelyabinsk,Russia,desktop
1010,Artem,2025-05-17,Omsk,Russia,tablet
1011,Artem,2025-09-04,Yekaterinburg,Russia,tablet
1012,Olga,2025-08-31,Saint Petersburg,Russia,mobile_ios
1013,Dmitry,2025-01-31,Chelyabinsk,Russia,mobile_ios
1014,Maria,2025-02-09,Nizhny Novgorod,Russia,desktop
1015,Olga,2025-08-17,Moscow,Russia,desktop
1016,Olga,2025-02-05,Omsk,Russia,mobile_android
1017,Ivan,2025-08-11,Omsk,Russia,tablet
1018,Elena,2025-01-06,Saint Petersburg,Russia,mobile_ios
1019,Dmitry,2025-11-18,Novosibirsk,Russia,desktop
1020,Anna,2025-08-08,Kazan,Russia,mobile_android
1021,Olga,2025-03-16,Kazan,Russia,mobile_android
1022,Yulia,2025-01-04,Moscow,Russia,mobile_ios
1023,Elena,2025-12-01,Samara,Russia,mobile_ios
1024,Anna,2025-05-14,Samara,Russia,mobile_android
1025,Yulia,2025-04-28,Yekaterinburg,Russia,desktop
1026,Dmitry,2025-04-04,Chelyabinsk,Russia,mobile_android
1027,Alex,2025-03-03,Rostov-on-Don,Russia,tablet
1028,Yulia,2025-07-13,Novosibirsk,Russia,tablet
1029,Natalia,2025-12-01,Nizhny Novgorod,Russia,mobile_ios
1030,Elena,2025-07-22,Rostov-on-Don,Russia,desktop
1031,Yulia,2025-01-26,Rostov-on-Don,Russia,desktop
1032,Petr,2025-06-22,Omsk,Russia,tablet
1033,Alex,2025-10-27,Moscow,Russia,mobile_android
1034,Artem,2025-05-13,Kazan,Russia,mobile_ios
1035,Artem,2025-11-22,Yekaterinburg,Russia,mobile_android
1036,Natalia,2025-04-28,Samara,Russia,mobile_android
1037,Yulia,2025-11-20,Moscow,Russia,mobile_android
1038,Yulia,2025-10-02,Omsk,Russia,desktop
1039,Ivan,2025-07-31,Nizhny Novgorod,Russia,tablet
1040,Yulia,2025-08-13,Yekaterinburg,Russia,desktop
1041,Sergey,2025-01-20,Omsk,Russia,tablet
1042,Maria,2025-04-23,Kazan,Russia,mobile_ios
1043,Petr,2025-05-20,Kazan,Russia,mobile_ios
1044,Ivan,2025-02-16,Kazan,Russia,mobile_android
1045,Dmitry,2025-01-01,Moscow,Russia,tablet
1046,Ivan,2025-03-31,Moscow,Russia,tablet
1047,Sergey,2025-05-22,Samara,Russia,tablet
1048,Dmitry,2025-11-16,Samara,Russia,mobile_android
1049,Petr,2025-02-07,Nizhny Novgorod,Russia,mobile_android
1050,Sergey,2025-10-20,Yekaterinburg,Russia,mobile_ios
1051,Anna,2025-05-19,Saint Petersburg,Russia,desktop
1052,Maria,2025-12-22,Saint Petersburg,Russia,tablet
